Message,Value,WPARAM (In),LPARAM (In),WPARAM (Out),LPARAM (Out),LRESULT (Out),MSDN,GitHub
WM_NULL,0x0000,NULL,NULL,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-null,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-null.md
WM_CREATE,0x0001,NULL,CREATESTRUCT*,NULL,NULL,"LRESULT: 0 (success), -1 (destroy window)",https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-create,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-create.md
WM_DESTROY,0x0002,NULL,NULL,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-destroy,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-destroy.md
WM_MOVE,0x0003,NULL,"xPos: LOWORD(lParam), yPos: HIWORD(lParam)",NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-move,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-move.md
WM_SIZE,0x0005,Enum SIZE (e.g. SIZE_MAXHIDE),new width: LOWORD(lParam). new height: HIGHWORD(lParam),NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-size,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-size.md
WM_ACTIVATE,0x0006,Enum WA (e.g. WA_ACTIVE): LOWORD(wParam). isMinimized: HIWORD(wParam) != 0,HWND,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-activate,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-activate.md
WM_SETFOCUS,0x0007,HWND,NULL,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-setfocus,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-setfocus.md
WM_KILLFOCUS,0x0008,HWND,NULL,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-killfocus,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-killfocus.md
WM_ENABLE,0x000A,IsEnabled: BOOL,NULL,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-enable,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-enable.md
WM_SETREDRAW,0x000B,CanRedraw: BOOL,NULL,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/gdi/wm-setredraw,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/gdi/wm-setredraw.md
WM_SETTEXT,0x000C,NULL,LPSTR/LPWSTR,,,TRUE/FALSE/LB_ERRSPACE/CB_ERRSPACE/CB_ERR,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-settext,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-settext.md
WM_GETTEXT,0x000D,Number of characters to copy incl. \0,Buffer to receive the text,Number of characters to copy incl. \0,Buffer containing the text,Number of characters copied excl. null terminator,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-gettext,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-gettext.md
WM_GETTEXTLENGTH,0x000E,NULL,NULL,NULL,NULL,Length of the text excl. null terminator,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-gettextlength,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-gettextlength.md
WM_PAINT,0x000F,NULL/HDC,NULL,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/gdi/wm-paint,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/gdi/wm-paint.md
WM_CLOSE,0x0010,NULL,NULL,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-close,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-close.md
WM_QUERYENDSESSION,0x0011,NULL,NULL,NULL,Flags Enum: ENDSESSION (e.g. ENDSESSION_CLOSEAPP),TRUE/FALSE,https://learn.microsoft.com/en-us/windows/win32/shutdown/wm-queryendsession,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/Shutdown/wm-queryendsession.md
WM_QUERYOPEN,0x0013,NULL,NULL,NULL,NULL,TRUE/FALSE,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-queryopen,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-queryopen.md
WM_ENDSESSION,0x0016,IsEnding: BOOL,Flags Enum: ENDSESSION (e.g. ENDSESSION_CLOSEAPP),NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/shutdown/wm-endsession,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/Shutdown/wm-endsession.md
WM_QUIT,0x0012,Exit Code,NULL,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-quit,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-quit.md
WM_ERASEBKGND,0x0014,HDC,NULL,NULL,NULL,IsErased: != 0,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-erasebkgnd,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-erasebkgnd.md
WM_SYSCOLORCHANGE,0x0015,NULL,NULL,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/gdi/wm-syscolorchange,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/gdi/wm-syscolorchange.md
WM_SHOWWINDOW,0x0018,IsShow: BOOL,Enum SW (e.g. SW_OTHERRUNZOOM),NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-showwindow,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-showwindow.md
WM_SETTINGCHANGE,0x001A,complex,complex,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-settingchange,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-settingchange.md
